Year,MixedWorkFromHome,MixedNoTelework,MixedTelework1to3DaysPerMonth,MixedTelework1DayPerWeek,MixedTelework2to3DaysPerWeek,MixedTelework4DaysPerWeek,MixedTelework5DaysPerWeek,OnSiteWorkFromHome,OnSiteNoTelework,OnSiteTelework1to3DaysPerMonth,OnSiteTelework1DayPerWeek,OnSiteTelework2to3DaysPerWeek,OnSiteTelework4DaysPerWeek,OnSiteTelework5DaysPerWeek,RemoteWorkFromHome,RemoteNoTelework,RemoteTelework1to3DaysPerMonth,RemoteTelework1DayPerWeek,RemoteTelework2to3DaysPerWeek,RemoteTelework4DaysPerWeek,RemoteTelework5DaysPerWeek
2005,0.05,0.6343,0.001,0.0526,0.0789,0.0789,0.1052,0.05,0.7252,0.001,0.043,0.0646,0.0646,0.0526,0.05,0.608,0.001,0.057,0.0855,0.0855,0.114
2010,0.05,0.6343,0.001,0.0526,0.0789,0.0789,0.1052,0.05,0.7252,0.001,0.043,0.0646,0.0646,0.0526,0.05,0.608,0.001,0.057,0.0855,0.0855,0.114
2015,0.05,0.6343,0.001,0.0526,0.0789,0.0789,0.1052,0.05,0.7252,0.001,0.043,0.0646,0.0646,0.0526,0.05,0.608,0.001,0.057,0.0855,0.0855,0.114
2020,0.05,0.6343,0.001,0.0526,0.0789,0.0789,0.1052,0.05,0.7252,0.001,0.043,0.0646,0.0646,0.0526,0.05,0.608,0.001,0.057,0.0855,0.0855,0.114
2025,0.05,0.605730307,0.001,0.056975089,0.085462634,0.085462634,0.116140471,0.05,0.713907038,0.001,0.043719135,0.065662036,0.065662036,0.060919237,0.05,0.577060238,0.001,0.061736902,0.092605353,0.092605353,0.125846621
2030,0.05,0.577160614,0.001,0.061350178,0.092025267,0.092025267,0.127080942,0.05,0.702614075,0.001,0.04443827,0.066724072,0.066724072,0.069238475,0.05,0.546120476,0.001,0.066473804,0.099710706,0.099710706,0.137693242
2035,0.05,0.548590921,0.001,0.065725267,0.098587901,0.098587901,0.138021412,0.05,0.691321113,0.001,0.045157406,0.067786109,0.067786109,0.077557712,0.05,0.515180714,0.001,0.071210706,0.106816059,0.106816059,0.149539863
2040,0.05,0.520021227,0.001,0.070100356,0.105150534,0.105150534,0.148961883,0.05,0.68002815,0.001,0.045876541,0.068848145,0.068848145,0.08587695,0.05,0.484240952,0.001,0.075947608,0.113921412,0.113921412,0.161386484
2045,0.05,0.491451534,0.001,0.074475445,0.111713168,0.111713168,0.159902354,0.05,0.668735188,0.001,0.046595676,0.069910181,0.069910181,0.094196187,0.05,0.45330119,0.001,0.08068451,0.121026765,0.121026765,0.173233106
2050,0.05,0.462881841,0.001,0.078850534,0.118275802,0.118275802,0.170842825,0.05,0.657442226,0.001,0.047314811,0.070972217,0.070972217,0.102515425,0.05,0.422361427,0.001,0.085421412,0.128132118,0.128132118,0.185079727
